District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Pop_Birth,Native_Born,Foreign_Born,Total_Foreign_Born,Entered_2010_Later,Entered_2000_2009,Entered_Before_2000,Pop_5Years_Over,English_Only,Spanish_Speaker,Indo_European_Lang,Asian_Pacific_Lang,Other_Languages,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Total_Male,Male_Under_5,Male_5_9,Male_10_14,Male_15_17,Male_18_19,Male_20,Male_21,Male_22_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_61,Male_62_64,Male_65_66,Male_67_69,Male_70_74,Male_75_79,Male_80_84,Male_85_Over,Total_Female,Female_Under_5,Female_5_9,Female_10_14,Female_15_17,Female_18_19,Female_20,Female_21,Female_22_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_61,Female_62_64,Female_65_66,Female_67_69,Female_70_74,Female_75_79,Female_80_84,Female_85_Over,Median_Household_Income,Total_Households_Income,Income_Less_10000,Income_10000_14999,Income_15000_19999,Income_20000_24999,Income_25000_29999,Income_30000_34999,Income_35000_39999,Income_40000_44999,Income_45000_49999,Income_50000_59999,Income_60000_74999,Income_75000_99999,Income_100000_124999,Income_125000_149999,Income_150000_199999,Income_200000_Plus,Total_Pop_Poverty,Below_Poverty_Level,Pop_25_Over,No_Schooling,Nursery_School,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12_No_Diploma,High_School_Diploma,GED,Some_College_Less_1yr,Some_College_1yr_Plus,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Households,Family_Households,Married_Couple_Family,Other_Family,Nonfamily_Households,Living_Alone,Not_Living_Alone,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Workers_16_Over,Commute_Car,Commute_Public_Transit,Commute_Bicycle,Commute_Walk,Work_From_Home,Total_Households_Internet,Has_Internet,No_Internet,Year,Dist_clean
"Congressional District 8 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:08",707268,707268,488750,2295,7834,104716,103673,707268,498879,208389,218518,39503,59958,22964,657705.0,349002.0,165482.0,866.0,0.0,2558.0,454580,38308,6590,99254,1736,87930,18870,212650,341723,24592,22853,21017,13106,7206,3732,4706,14399,24756,26084,26650,25392,22264,19380,21882,10198,10849,6727,8832,12079,6305,4890,3824,365545,24971,24353,22540,14058,7913,4513,4093,16018,25612,26823,25018,23005,23926,19914,23629,10153,14045,8008,9938,13657,9423,6332,7603,72089,250552,10142,4846,8434,8506,8649,8661,9805,12436,10371,19254,28193,36838,29011,18647,20926,15833,702194,58125,477198,9879,163,0,0,1110,1949,1999,1813,10534,2532,5873,6975,8494,4769,12239,101398,12348,30370,62869,37420,108063,44732,7575,4094,250552,177231,135528,41703,11431,30272,73321,397559,397521,382455,15066,250552,167888,82664,375501,335475,13576,909,4316,17227,250552,226783,19783,2018,8
"Congressional District 18 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:18",700276,700276,668854,925,3360,14496,12641,700276,673139,27137,31422,9343,7418,1393,,,,,,,628155,29816,1320,20195,28,5299,15463,21322,342649,20641,21367,23376,14713,8723,4148,4269,11049,20148,21352,22224,20330,20908,21125,24969,9243,14171,7381,12222,15511,11034,6765,6980,357627,20797,20751,23034,13370,9229,4741,4343,10621,21020,20293,21107,20877,21480,22108,25716,9335,15194,9773,11682,16671,12799,10090,12596,65362,279760,15710,10373,10842,12110,10442,14085,11201,12355,9516,21261,31855,39775,27145,18821,17829,16440,679721,67944,485104,1702,178,63,0,58,260,124,146,626,554,3607,3000,6291,6344,5497,126269,18729,36183,65986,47236,100599,45590,8483,7579,279760,184193,149905,34288,9395,24893,95567,347056,346622,334854,11768,279760,209231,70529,330931,305769,1084,901,6855,14912,279760,234598,35974,2018,18
"Congressional District 2 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:02",694459,694459,633358,2103,1993,27278,29727,694459,637454,57005,61101,7701,15385,9255,,,,,,,253856,393578,1139,6314,95,25713,13764,103443,321210,23003,20465,25772,17158,10926,3328,4365,13393,22328,17564,18976,19799,20575,20874,17985,8122,12498,6209,8831,11474,7380,5008,5177,373249,18759,20994,26289,17427,9134,4924,4142,15558,23667,23700,21590,24284,24078,25162,23284,10450,12727,8455,11040,16380,11428,9448,10329,49210,257381,23287,13302,13785,14487,14450,15339,11928,12614,11246,21775,24541,30325,20490,11330,11113,7369,685569,125603,458822,6644,145,247,53,443,478,1013,1434,4617,1243,5645,4411,7519,11477,9741,124755,15264,30303,92619,36929,62085,33888,3572,4297,257381,162028,87811,74217,14684,59533,95353,332463,332262,299420,32842,257381,156735,100646,291698,234822,33572,466,3905,13607,257381,212388,37988,2018,2
"Congressional District 16 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:16",684888,684888,642181,1018,4301,18720,18668,684888,647500,37388,42707,6770,8697,5722,,,,,,,619708,25648,1341,11044,176,11562,15409,70798,343108,19358,18784,23138,14502,9889,5886,5525,14013,22548,18747,21064,19540,21680,23004,25178,10460,13555,7949,11233,15144,10181,6621,5109,341780,17725,18296,21738,12316,10112,4238,3908,12181,20074,18446,18369,20305,23119,23672,25226,9547,14155,7502,12241,17367,11613,9450,10180,61773,274557,11382,12049,13169,14042,13020,15022,9845,13372,9576,21105,31893,35315,28129,17621,17154,11863,665484,70792,473279,5151,11,33,420,239,278,815,446,4636,463,3513,4891,6649,9068,8568,131056,24698,39906,70221,47216,73426,32889,4957,3729,274557,179700,140382,39318,12032,27286,94857,354224,354081,337152,16929,274557,197906,76651,330317,304971,1424,1187,5044,14577,274557,238604,29424,2018,16
"Congressional District 3 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:03",704050,704050,550086,2435,7428,82048,62053,704050,559949,144101,153964,16474,33148,15581,,,,,,,554906,35460,3459,31306,158,63289,15472,228203,350554,20443,20948,25757,14459,9551,3765,4344,12308,24975,22935,25037,22101,22088,24815,26543,8812,14242,6286,9045,12935,9217,5256,4692,353496,23342,22737,23315,14761,7151,3175,3284,13301,22924,22179,23054,23952,20857,23105,22794,9128,13700,7560,9242,15728,10110,8277,9820,66862,246239,12258,7272,10050,11708,10666,10631,9193,11408,8951,16263,26917,30340,23520,16703,20117,20242,692985,71307,481409,9679,0,85,457,558,1303,1105,2114,8868,1801,8714,6782,7003,5540,14443,123133,17754,28649,72163,34594,84132,41253,6664,4615,246239,173289,129774,43515,14783,28732,72950,360445,360326,337156,23170,246239,182050,64189,329683,278177,30853,930,6523,9159,246239,208892,31903,2018,3
"Congressional District 11 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:11",722584,722584,570531,4115,5206,66187,76545,722584,579852,142732,152053,29478,38073,18789,678700.0,452521.0,153192.0,1387.0,91.0,1317.0,496219,76321,3335,58102,418,58508,29681,210124,357375,23351,21959,28883,16223,10174,7124,5730,12351,23594,23874,26040,22706,28339,25781,21964,10530,9893,6345,7769,11108,6505,3700,3432,365209,20533,24885,28322,14619,10655,4565,5142,14205,21944,22676,26597,26971,27083,23466,22956,8616,10700,7184,8632,14039,9409,4539,7471,79003,249169,9491,4975,6746,7719,8440,9691,9767,9362,9271,17110,25404,37681,28266,21320,20532,23394,714293,59646,473863,8933,276,0,468,702,1749,1352,1558,9625,2178,8041,7106,4820,6341,9019,94061,18846,31491,62309,37676,106289,47477,7615,5931,249169,177819,131992,45827,16265,29562,71350,400658,400385,381907,18478,249169,175712,73457,373561,330197,17260,432,4503,17136,249169,221895,23708,2018,11
"Congressional District 15 (116th Congress), Illinois: Summary level: 500, state:17> congressional district:15",691196,691196,675199,655,3179,6491,5672,691196,679033,12163,15997,3009,2743,1560,,,,,,,639755,31004,1228,3770,282,2998,12159,18636,346943,22407,20801,23393,13625,8600,3907,5336,12195,20489,21791,22773,19527,20865,21889,26225,10346,12834,8566,12619,13898,11199,7953,5705,344253,19601,19374,20883,13353,8502,3482,4052,10125,19393,19522,21339,18865,19804,21256,27485,10353,12874,8261,12679,16828,13327,10915,11980,53042,276514,18090,14665,14071,15986,13423,12951,14737,14418,12146,22889,30598,38204,22688,12275,11814,7559,663971,90983,481560,3933,0,47,90,46,169,314,187,900,1214,10079,4723,9313,9328,6553,136767,28163,44081,69452,60459,61974,26242,4282,3244,276514,184317,140936,43381,12019,31362,92197,328751,328407,310983,17424,276514,206151,70363,306998,276861,1751,1418,7560,17243,276514,222689,47541,2018,15
"Congressional District 1 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:01",728550,728550,668905,1600,7081,26677,24287,728550,677586,50964,59645,18688,11269,3863,,,,,,,284667,351261,3461,16520,107,25061,47473,63990,346545,22939,23405,24107,14934,9071,5288,3719,15548,22957,22731,21283,20233,16882,24547,19453,8911,16111,7365,12040,14559,9439,5709,5314,382005,16830,21258,21437,16783,8657,3994,2997,15473,22076,22680,24294,23502,21619,28341,24209,11342,15450,9090,14038,21498,16051,9673,10713,64107,300665,29318,18059,10475,11569,12593,13784,11296,9611,8615,17302,24544,35417,30965,17794,24683,24640,718322,119176,502110,6865,59,499,0,0,179,658,334,1433,716,3895,3387,6202,8306,11644,116152,17122,39210,82408,43079,89859,50626,9896,9581,300665,179194,103666,75528,14292,61236,121471,360825,360646,330170,30476,300665,186351,114314,323059,229369,31922,753,10394,44603,300665,263931,25984,2022,1
"Congressional District 2 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:02",730809,730809,669798,2463,3664,25946,28938,730809,675925,54884,61011,14990,12585,6092,,,,,,,266521,334699,3053,9005,427,61185,55919,112074,348863,20278,20147,30866,14763,8490,4971,5024,14799,22075,22508,20064,19644,20314,20499,24168,9148,14563,8972,11649,15533,9724,5878,4786,381946,19373,23005,25141,16418,8946,4480,3656,15622,22206,24717,22318,22758,23296,22328,25628,10048,16879,9253,12757,18284,16000,9912,8921,57780,294779,23392,13909,14035,12889,13276,14174,10728,15482,10572,23459,29603,38267,25515,15588,17702,16188,716567,129895,494830,8027,0,0,363,219,867,554,966,5369,1198,6090,4324,5009,9569,9690,130205,24048,36563,88833,43138,69234,39611,6861,4092,294779,175258,100163,75095,17141,57954,119521,357619,357013,326275,30738,294779,186285,108494,319410,247931,15152,2344,8264,37464,294779,267512,19900,2022,2
"Congressional District 3 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:03",708538,708538,492760,17533,8936,91291,98018,708538,519229,189309,215778,53565,38411,24992,,,,,,,323012,36378,12704,56878,204,144889,134473,309369,359668,21403,17992,22969,15764,9489,5052,3300,17112,29142,28752,28385,26418,23873,22642,25157,8508,10826,7219,9078,12287,6770,3767,3763,348870,18901,18990,20714,14567,8152,4175,4008,13675,25087,29369,23831,26335,19449,22065,22382,9397,11080,7362,10318,15280,9362,7430,6941,78452,269269,14718,9102,7406,10222,7575,9075,9971,9099,9304,18758,23766,34349,28285,19766,26594,31279,698241,91055,492275,15420,178,107,205,1887,1879,1660,1522,11566,3275,9415,5313,5694,3851,14871,101892,15702,24339,50541,35975,121820,49296,10284,5583,269269,166964,119103,47861,15537,32324,102305,396157,395801,377620,18181,269269,153558,115711,371414,252099,37123,4997,8597,64300,269269,243006,18382,2022,3
"Congressional District 4 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:04",718854,718854,474990,4780,10246,111356,117482,718854,490016,228838,243864,38328,41345,37134,,,,,,,218767,36251,16490,32050,360,249632,165304,478972,361020,17727,23400,26243,18223,10416,4861,5563,17480,25811,24740,26804,22830,22961,25429,21172,9853,11640,6597,10469,12289,11196,4028,2668,400011,24641,21229,23848,11491,9721,3292,3104,21786,44227,40947,30089,26227,21216,22245,18955,6435,12161,6925,9989,19386,11245,5144,5708,76365,335027,31740,19639,11879,12591,9751,9516,7392,12360,8508,17950,22907,35850,34272,20977,29183,50512,745118,139812,530736,9841,0,406,270,1006,4665,3152,2721,21074,1463,9705,7618,6762,8305,19171,114069,21716,24652,51877,31480,73549,31697,8834,3676,248910,172001,114105,57896,18525,39371,76909,367253,367011,344372,22639,248910,156538,92372,337541,251804,27484,2140,8788,41880,248910,217514,23296,2022,4
"Congressional District 5 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:05",732819,732819,580298,2242,6871,90930,52478,732819,589411,143408,152521,41082,31621,4392,690903.0,498170.0,58431.0,4738.0,258.0,5063.0,524489,22200,3744,79896,0,33537,68953,97432,358804,19875,18733,16948,10148,5796,2052,1783,17433,35407,33919,31895,24743,23492,20657,21174,8691,13654,8488,9093,14126,7568,5172,3772,357834,19523,22342,22573,15129,9560,3386,5169,19063,23960,23622,21058,22325,25040,22187,22852,9936,13462,7445,10841,12249,11630,6015,8467,69123,248910,12521,6809,9268,10475,12110,11431,7669,10942,8593,18211,26794,28624,28180,14415,19441,23427,707088,88975,478196,30328,294,116,0,39,239,641,669,2497,711,3012,1349,2571,989,6410,60133,7796,18930,46723,27962,201086,108035,26737,13384,333259,169480,139841,29639,9722,19917,163779,437458,437458,426265,11193,333259,197640,135619,419021,210814,66552,4871,14825,115290,333259,313452,11075,2022,5
"Congressional District 6 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:06",737763,737763,617661,966,7515,72882,38739,737763,626142,111621,120102,29080,23514,7574,,,,,,,526731,39072,4138,41065,115,44887,81755,117264,361918,21434,20445,23461,13271,8389,4341,3432,13160,22518,26674,26720,24480,17873,24513,22573,10092,15377,9041,13368,16927,7182,6125,7390,374015,22041,16728,19360,10059,5968,3667,4180,20210,35749,33788,29786,24254,18814,21792,19403,8624,13188,8073,11524,14151,13464,8847,10345,104191,333259,14822,7800,6815,8439,6322,9070,8662,7768,6721,14578,28775,40845,31842,26428,37982,76390,724321,54244,537838,7515,282,86,0,0,657,231,192,3283,582,4081,2138,3279,2799,8407,103089,13746,33518,70346,43538,138175,68190,14877,8962,295163,194767,150663,44104,14963,29141,100396,393670,393545,377972,15573,295163,230260,64903,370349,280718,16588,519,4271,63701,295163,276618,13505,2022,6
"Congressional District 7 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:07",758917,758917,634587,4991,5768,46210,67361,758917,645346,113571,124330,47521,25914,8253,,,,,,,242099,316388,5748,65082,748,56881,71971,128427,358906,22132,19120,22233,12444,10355,2571,2830,17384,36180,41020,29703,24611,23967,18491,18728,6078,10171,5073,6407,11516,11035,6963,5831,375845,19436,24271,20235,15382,8141,1960,2727,10069,24190,21735,25767,23774,19421,23804,25577,9605,16812,11850,14706,19803,17226,8962,10392,95298,295163,10957,5258,6584,6378,9154,8440,8092,10505,9007,16830,23098,40962,34308,27722,34731,43137,730590,53123,527609,7151,0,273,80,121,982,749,993,5047,1052,3787,5796,7048,9494,13505,89469,17100,27547,52864,28668,136627,79662,26947,13084,335027,166485,95972,70513,14208,56305,168542,418967,418803,390694,28109,335027,142487,192540,384828,179255,62244,5556,34717,96046,335027,295499,22792,2022,7
"Congressional District 8 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:08",749823,749823,531119,4444,7426,118061,88773,749823,542989,206834,218704,55726,51013,16264,712780.0,415294.0,135824.0,642.0,0.0,3592.0,418128,34361,7371,99441,2253,84373,103896,188087,376269,18174,23514,26005,18112,8142,3954,5761,15078,22940,25266,29149,26768,24008,29318,22688,8782,15977,9177,9724,14340,8935,5304,5153,373554,18869,21816,25299,12751,7341,3723,4776,14686,21515,23439,24268,27115,29090,23646,24573,9710,17300,8146,12285,16054,13506,7248,6398,91317,286073,10599,4746,6689,5762,6130,7189,9160,8152,7296,21743,26639,42186,35542,24923,34375,34942,743797,51391,521822,13140,0,262,0,400,1007,1059,1757,6530,1336,3246,3219,4659,3290,8487,107476,15359,34231,62519,43665,139097,56309,10396,4378,286073,198491,148239,50252,16775,33477,87582,432420,432040,415201,16839,286073,209137,76936,407522,331284,7567,642,3442,60419,286073,269392,12172,2022,8
"Congressional District 9 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:09",730979,730979,526219,2156,9326,121969,71309,730979,537701,193278,204760,59949,41843,8366,698440.0,447666.0,66656.0,5148.0,976.0,2562.0,449896,54757,2962,108724,465,40585,73590,93378,366798,17469,21095,21763,13218,9922,3557,3050,13541,23449,23483,27355,24502,28019,24236,26502,8424,12490,10375,12555,18875,11733,6010,5175,364181,15070,17462,19180,12684,9979,4192,5020,14380,21831,25649,26645,26004,24736,20792,24790,10101,12758,9087,14015,17542,11460,9164,11640,86692,306811,16500,9780,7590,7243,10840,10078,7678,9428,8884,17517,25940,40398,29009,20628,30940,54358,711190,73020,529397,11884,369,138,75,87,462,869,1511,4847,975,3754,2830,3594,4237,7095,71185,13006,18706,52044,33352,169703,90948,22435,15291,306811,173536,137391,36145,11278,24867,133275,408166,408166,388248,19918,306811,185041,121770,382994,227977,41222,4189,13474,89145,306811,282906,12617,2022,9
"Congressional District 10 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:10",744016,744016,581895,2797,8499,78287,72538,744016,593191,150825,162121,44757,27734,16803,704757.0,483588.0,129435.0,1651.0,855.0,1143.0,458578,48449,8484,61198,761,63989,102557,178151,374906,20881,23661,26477,16304,13296,6061,5174,14759,22246,21120,22087,25037,22935,24072,27609,11679,13031,8374,11546,15568,10897,6336,5756,369110,18378,24048,22763,14692,10458,5476,3654,14657,20273,20583,23565,24227,20992,26322,26572,11291,14087,8407,10844,17461,13287,9731,7342,98057,276723,8957,5186,5756,7407,6399,6558,6388,10755,8073,16136,24272,35203,30387,21093,29200,54953,725245,57789,503277,12299,237,257,245,959,583,47,808,4067,1115,4505,3884,3907,3287,11222,84748,16584,28747,53118,33342,130335,73133,22046,13802,276723,195943,157402,38541,12138,26403,80780,404643,393649,381993,11656,276723,203383,73340,382537,287836,10716,1302,7190,70153,276723,257917,12494,2022,10
"Congressional District 11 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:11",766225,766225,630349,1660,7342,67065,59809,766225,639351,126874,135876,35454,32061,12665,723882.0,542619.0,96321.0,843.0,0.0,2378.0,500120,43916,3534,71963,1133,55256,90303,142858,379659,21945,22415,26880,17691,10211,5560,3137,15225,23777,21547,23586,30082,26038,25818,25425,12009,13316,7862,9987,16185,10220,6228,4515,386566,20398,24115,26362,18057,8837,5483,4743,14548,20533,21886,25256,27612,24702,27008,24172,10490,14539,8055,12260,17803,12295,9054,8358,99802,286430,10384,4832,5798,7049,6124,8329,7688,6444,8748,16028,24444,37711,31139,26066,35323,50323,758235,52055,520618,10856,132,55,0,67,427,510,348,4291,1085,4015,3006,4655,3997,9521,90489,15215,36684,61680,41073,143949,69806,9615,9142,286430,200183,159764,40419,12210,28209,86247,422501,422068,404214,17854,286430,217729,68701,397668,311801,9562,414,4281,66524,286430,270612,11076,2022,11
"Congressional District 12 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:12",748293,748293,727045,633,4585,7904,8126,748293,732263,16030,21248,7421,4018,599,,,,,,,652456,36299,761,6739,9,6359,45670,20938,376931,19097,22394,24852,15967,9300,4834,4736,14178,20757,23913,24291,25325,22403,24505,26906,8944,16716,11327,12672,18392,11631,7784,6007,371362,19722,22286,23570,13675,8861,4323,4431,12501,19094,20845,22456,23990,20004,23038,26584,9455,15792,9751,14084,20466,13513,11760,11161,62253,308822,18228,16267,11997,14076,13799,13809,12854,12928,11550,24335,30097,39996,29546,21089,21242,17009,719834,98092,523566,4184,0,29,13,353,117,245,406,1039,1061,5882,5134,6436,8964,7288,130642,28990,44731,74951,72632,79350,38741,7241,5137,308822,195935,149856,46079,15429,30650,112887,356810,353672,340545,13127,308822,228247,80575,335741,293287,957,1507,8046,28492,308822,269544,31592,2022,12
"Congressional District 13 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:13",739838,739838,688807,772,7266,18024,24969,739838,696845,42993,51031,26379,8325,1790,,,,,,,506980,129338,2757,30704,288,9731,60040,33259,364116,21681,20356,22997,11161,14052,7841,7273,22371,25340,25777,24859,19564,18957,19605,21496,9778,13793,9297,10656,15415,10755,5646,5446,375722,20350,17681,21402,11655,13180,7510,6573,20775,26010,24492,22984,21579,20748,19947,24576,9787,14030,9394,12313,19769,11833,9162,9972,59843,312597,28375,12728,12692,13951,13719,13280,12155,11851,11045,26869,33991,38947,25148,20758,17763,19325,710645,127182,492980,6265,28,0,81,0,44,35,61,572,638,1811,4567,5434,8718,7595,124586,21793,36368,65446,47788,91884,47512,9347,12407,312597,174491,122665,51826,14732,37094,138106,368106,367050,346378,20672,312597,200167,112430,341322,270693,8429,1776,11159,45963,312597,280903,20068,2022,13
"Congressional District 14 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:14",756472,756472,649856,1879,5038,53530,46169,756472,656773,99699,106616,27633,22694,9324,,,,,,,475307,72215,5273,37054,58,64816,101749,181793,382949,22120,25827,28031,18651,11621,7482,6439,18040,23655,28252,26688,25623,24566,26541,24396,8892,11365,6754,8850,12078,7794,5922,3362,373523,18551,23825,26378,16732,11158,5908,6352,14809,24086,23754,21546,27312,27611,25748,23882,8895,10144,7843,9650,14147,10558,8118,6516,86174,266940,12317,6367,5144,8670,6980,9297,9192,10044,6093,16486,26580,36376,32093,24246,27484,29571,741090,73378,494548,13549,85,159,91,98,1461,261,1259,6191,528,4310,3245,4044,6021,9651,115575,18420,36158,70758,44323,99165,48820,5560,4816,266940,192997,141068,51929,15825,36104,73943,400203,400121,385008,15113,266940,203680,63260,376895,316421,5018,505,4535,46316,266940,249466,12287,2022,14
"Congressional District 15 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:15",746507,746507,730987,773,2779,5984,5984,746507,734539,11968,15520,3684,2964,1058,,,,,,,678071,25300,1585,6156,24,5161,30210,19088,370993,18028,22463,23722,16537,8313,4427,4598,14420,21288,21367,25468,23643,22563,24388,21376,10745,17619,10309,13017,18699,12854,8214,6935,375514,18608,21867,23910,14851,8847,4116,5299,11083,17928,20043,25051,22104,21223,22384,23629,10225,17063,10545,13337,22220,16968,11721,12492,66614,309927,16798,12494,11895,12432,12406,14810,13058,12076,11124,23984,30651,42479,33212,21369,21110,20029,718278,80881,525418,3668,162,0,0,0,6,0,42,217,322,5839,4157,6982,8202,6285,160201,27953,42674,68718,55324,84155,37917,6521,6073,309927,195006,151462,43544,14052,29492,114921,361889,361142,349513,11629,309927,241021,68906,344714,300718,1535,1865,5165,31380,309927,276937,24896,2022,15
"Congressional District 16 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:16",745274,745274,712170,1530,3831,12477,15266,745274,717531,27743,33104,10046,6691,2688,,,,,,,640523,19433,1273,15744,103,12258,55940,50798,372941,18780,22850,28789,15946,7951,4523,4355,14418,19901,20007,24462,24363,22327,24061,23508,12441,13824,10306,12572,19575,13139,8068,6775,372333,19045,22687,24983,13509,6688,4058,3681,12508,20113,20084,26383,22044,21601,22639,23140,12096,15026,11481,13608,19233,15848,10574,11304,78393,306321,12675,7228,9097,9879,9954,10814,10793,12528,9474,23195,30765,40899,33950,27123,29965,27982,733632,60455,520503,3818,43,0,10,283,465,612,336,891,262,2742,3405,6228,5516,7783,130364,23413,43271,67862,55617,106455,45498,10207,5422,306321,207079,167942,39137,12032,27105,99242,374439,373135,359646,13489,306321,241518,64803,355421,304171,1045,812,6024,40665,306321,278126,20176,2022,16
"Congressional District 17 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:17",738355,738355,689562,1991,5541,17372,23889,738355,697094,41261,48793,16629,10201,5556,,,,,,,517182,89407,3630,16692,297,33524,77623,83848,367749,22338,22185,23507,14527,10710,6742,7382,16717,24591,24243,24127,21769,18813,22077,21975,10635,13538,8275,10635,18802,11226,7729,5206,370606,18174,21730,21143,12409,11987,6984,7460,17244,21929,24025,20729,19519,19796,21977,23157,10646,13940,10090,13311,20551,13554,9047,11204,56834,318644,23789,16989,12946,13519,13238,17208,15616,15487,11611,26024,32843,42844,28966,17151,17531,12882,703826,119120,497116,8118,42,78,209,243,965,199,229,1592,781,2445,5748,7205,9304,10587,129812,29060,46119,70898,50942,78547,32212,5820,5961,318644,180113,123195,56918,18283,38635,138531,367628,367301,349693,17608,318644,209270,109374,341330,284731,2798,898,9739,37440,318644,279296,26005,2022,17
"Congressional District 1 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:01",751575,751575,680798,1589,5334,35209,28645,751575,687721,63854,70777,21390,13538,4609,,,,,,,278207,358230,2274,15755,204,37584,59321,83528,353234,19796,23621,28364,15735,10305,4491,4833,13223,21171,27344,20347,23727,17075,23723,19193,12773,14720,7328,10785,14475,8762,6196,5247,398341,22062,22564,25765,17505,8203,4158,3249,14175,21791,28930,23403,25445,22352,27090,24582,10989,14961,10346,16962,18824,13661,10082,11242,67268,298665,24108,16122,11471,11914,8359,13275,13394,8509,10585,18402,24361,33524,31404,18448,28470,26319,739902,113442,513526,6855,208,199,0,201,456,274,352,2477,819,3448,3089,5263,8103,9862,120764,23223,45054,77050,46997,90656,51776,9105,7295,298665,182247,109002,73245,15895,57350,116418,375133,374075,342015,32060,298665,189080,109585,335244,248009,33726,792,8202,37659,298665,269965,19958,2023,1
"Congressional District 2 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:02",720502,720502,652735,954,4852,30129,31832,720502,658541,61961,67767,17730,13948,7094,,,,,,,261527,327303,5173,7580,222,57407,61290,117144,345593,22990,25365,28246,16084,7936,4766,4137,11567,19900,20721,19873,20859,20625,20658,19687,10150,12829,9377,10744,16568,9949,6892,5670,374909,18504,22708,23972,14950,7564,4429,5000,12955,21481,26215,22285,24351,20728,22581,20513,10446,18592,9540,13067,18647,14978,11681,9722,61221,291541,25467,16383,9778,12422,11867,11277,11552,13699,10577,19884,27924,37538,26680,17701,20947,17845,704515,123510,489329,10146,187,115,307,198,826,691,656,2937,976,2631,4335,6079,9776,12054,134039,26442,41320,69299,41384,72657,39838,6766,5670,291541,177713,101981,75732,19271,56461,113828,343616,343612,322025,21587,291541,187397,104144,313369,252299,19441,480,7790,27793,291541,261089,22479,2023,2
"Congressional District 3 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:03",720148,720148,493311,14760,10149,97839,104089,720148,518220,201928,226837,60839,45000,18993,,,,,,,327887,37826,11171,51992,594,151651,139027,333195,357988,20169,20267,21461,16362,8587,3633,3444,13747,24976,29556,29728,25909,22862,23968,21702,9172,12585,8050,9722,14403,8847,5411,3427,362160,21177,20642,19287,13599,6753,4695,3220,16636,30077,32692,24837,23496,23611,23341,20625,10507,12273,7064,11339,14222,9789,6416,5862,83552,275205,12687,7981,7145,5013,10027,9696,8020,9481,9331,14625,28550,35825,31745,21551,28657,34871,711779,88419,506469,25960,127,291,154,1158,3733,1016,3208,11510,1539,5060,4001,5710,6606,14519,102155,16254,29179,54222,30013,123873,51061,9430,5690,275205,174615,123481,51134,19039,32095,100590,409655,409584,389127,20457,275205,157562,117643,380566,265118,42701,6072,8425,53372,275205,254078,13882,2023,3
